trial,lpa_precompute_us,euicc_commit_us,challenge_gen_us,tee_authtoken_us,euicc_mask_us,lpa_aggregate_us,server_verify_us,total_us,euicc_total_us,lpa_total_us,tee_total_us,server_total_us
1,6066.44,12864.77,459.72,196.11,3577.09,44.39,3751.14,26959.65,16441.85,6110.83,196.11,3751.14
2,3518.12,9101.61,102.92,35.11,2616.82,14.97,3568.83,18958.39,11718.44,3533.09,35.11,3568.83
3,3787.90,12209.74,131.84,53.49,1666.34,11.83,3318.42,21179.56,13876.08,3799.73,53.49,3318.42
4,4080.25,13089.87,102.84,41.10,1529.87,11.04,2830.87,21685.85,14619.74,4091.29,41.10,2830.87
5,4562.21,13482.15,140.05,54.20,2030.81,117.43,4291.03,24677.88,15512.95,4679.64,54.20,4291.03
6,3723.57,10744.79,109.71,44.94,1431.01,11.38,3003.79,19069.19,12175.80,3734.95,44.94,3003.79
7,3480.01,11309.97,106.33,39.53,1505.31,10.71,3100.87,19552.73,12815.28,3490.72,39.53,3100.87
8,3997.48,10001.15,110.15,39.61,1462.33,12.44,3134.72,18757.88,11463.48,4009.92,39.61,3134.72
9,3509.83,10925.47,111.27,43.90,1475.04,10.51,2894.81,18970.84,12400.52,3520.34,43.90,2894.81
10,3843.95,9979.29,106.00,38.07,1425.55,10.75,3002.67,18406.28,11404.84,3854.69,38.07,3002.67
11,3647.08,9583.90,99.38,32.71,2181.95,12.58,3100.09,18657.68,11765.85,3659.66,32.71,3100.09
12,3705.32,10508.96,108.68,38.26,1484.39,11.45,2939.57,18796.63,11993.35,3716.78,38.26,2939.57
13,3773.55,9499.78,109.43,38.43,1757.24,10.20,3448.72,18637.35,11257.02,3783.75,38.43,3448.72
14,3352.65,9387.88,93.46,36.13,2669.23,15.31,3227.73,18782.38,12057.11,3367.96,36.13,3227.73
15,4790.18,10454.63,107.39,39.58,1809.11,11.14,2685.84,19897.87,12263.74,4801.32,39.58,2685.84
16,3991.24,9674.86,93.96,36.73,1452.07,10.91,2813.22,18072.99,11126.93,4002.15,36.73,2813.22
17,4319.27,9737.74,99.12,39.95,1488.96,10.24,2791.85,18487.14,11226.70,4329.51,39.95,2791.85
18,3530.98,10197.99,100.62,39.03,1509.84,16.59,3059.12,18454.18,11707.83,3547.58,39.03,3059.12
19,3954.58,9799.10,106.12,39.77,1716.30,14.37,3526.54,19156.80,11515.41,3968.96,39.77,3526.54
20,3641.08,10584.73,117.52,42.80,1739.75,10.40,2784.35,18920.64,12324.48,3651.48,42.80,2784.35
21,3597.66,9970.02,124.57,50.96,1725.92,12.26,3960.39,19441.78,11695.94,3609.92,50.96,3960.39
22,3422.37,9521.97,106.58,47.46,2124.31,11.00,2747.07,17980.77,11646.28,3433.38,47.46,2747.07
23,3381.37,9577.33,109.49,61.29,1766.22,11.62,2778.99,17686.32,11343.56,3393.00,61.29,2778.99
24,3884.32,10516.49,115.47,43.51,1545.79,11.45,3006.01,19123.03,12062.28,3895.77,43.51,3006.01
25,3446.17,11509.98,104.93,42.02,1525.03,11.71,2868.59,19508.44,13035.01,3457.88,42.02,2868.59
26,3614.22,9767.41,113.30,48.82,1508.90,10.79,2716.62,17780.07,11276.31,3625.01,48.82,2716.62
27,4242.12,12860.12,102.62,38.43,1415.01,25.47,2891.69,21575.46,14275.13,4267.59,38.43,2891.69
28,4213.74,10527.06,116.57,39.71,1360.89,11.70,2862.55,19132.23,11887.95,4225.44,39.71,2862.55
29,3587.35,9710.97,99.82,41.05,1391.13,10.40,2664.43,17505.16,11102.10,3597.75,41.05,2664.43
30,3606.04,9973.49,100.24,36.29,1411.88,14.85,3469.04,18611.82,11385.37,3620.88,36.29,3469.04
31,4824.90,9637.24,97.41,36.52,1533.18,12.31,3320.82,19462.39,11170.43,4837.21,36.52,3320.82
32,3528.85,14411.93,151.20,591.78,3221.47,12.73,2916.68,24834.63,17633.39,3541.58,591.78,2916.68
33,3501.14,11161.86,136.21,59.88,1867.66,12.38,2770.58,19509.71,13029.51,3513.52,59.88,2770.58
34,3576.66,9635.54,118.58,44.57,1426.98,10.19,4281.09,19093.60,11062.52,3586.85,44.57,4281.09
35,4208.02,9374.76,104.97,36.86,1382.64,12.33,2827.89,17947.46,10757.40,4220.35,36.86,2827.89
36,3481.75,11265.27,138.94,48.81,1442.17,11.38,4094.49,20482.81,12707.44,3493.13,48.81,4094.49
37,3922.16,9342.53,103.03,40.26,1393.78,100.79,2863.84,17766.39,10736.31,4022.95,40.26,2863.84
38,3478.97,11368.17,142.29,56.05,1921.17,14.80,3123.91,20105.36,13289.34,3493.77,56.05,3123.91
39,4117.44,10161.09,153.07,49.22,1946.72,11.72,2917.14,19356.40,12107.81,4129.16,49.22,2917.14
40,3378.45,9453.84,583.04,49.41,2457.50,12.00,2770.34,18704.58,11911.34,3390.45,49.41,2770.34
41,3500.98,11483.11,102.02,40.47,1366.35,11.01,2840.56,19344.50,12849.46,3511.99,40.47,2840.56
