length_bound,classical_bits,quantum_bits,bkz_block_size
40000,157.0346557934519,148.60403138204023,446
50000,151.16541502614726,143.04238064655289,425
60000,146.7285858494241,139.04886271967854,409
70000,143.15378775743548,135.6064019313183,396
71400,142.58940600224122,135.08735382947808,394
80000,140.15772203036795,132.70403138204023,385
90000,137.72609222057616,130.3215440590891,376
100000,135.69872658825628,128.42924551766612,369
120000,132.1171467091867,124.9764960180612,356
140000,128.97697241586016,122.29771964164101,345
160000,126.80588070260396,119.91095703294177,337
200000,121.05842427690573,114.02521982550749,317
