window_size,sync_depth,success_rate,avg_mac_us,avg_total_us
1,0,1.000000,182.62,4546.49
1,1,1.000000,205.66,3903.33
1,2,0.000000,184.13,184.13
1,4,0.000000,186.24,186.24
1,8,0.000000,183.46,183.46
1,16,0.000000,174.79,174.79
1,32,0.000000,189.75,189.75
1,64,0.000000,180.92,180.92
2,0,1.000000,90.03,3767.24
2,1,1.000000,188.96,4126.29
2,2,1.000000,278.58,4521.13
2,4,0.000000,294.11,294.11
2,8,0.000000,260.44,260.44
2,16,0.000000,267.88,267.88
2,32,0.000000,265.79,265.79
2,64,0.000000,287.86,287.86
4,0,1.000000,95.82,3714.57
4,1,1.000000,168.26,3749.57
4,2,1.000000,279.51,3969.74
4,4,1.000000,482.96,4073.33
4,8,0.000000,417.90,417.90
4,16,0.000000,425.95,425.95
4,32,0.000000,454.57,454.57
4,64,0.000000,455.65,455.65
8,0,1.000000,94.12,3761.20
8,1,1.000000,192.29,3864.19
8,2,1.000000,243.00,3816.79
8,4,1.000000,408.45,4015.31
8,8,1.000000,761.59,4397.43
8,16,0.000000,774.57,774.57
8,32,0.000000,775.82,775.82
8,64,0.000000,778.76,778.76
16,0,1.000000,90.51,3663.36
16,1,1.000000,177.20,3807.85
16,2,1.000000,280.61,4333.55
16,4,1.000000,416.59,4097.25
16,8,1.000000,760.00,4509.65
16,16,1.000000,1525.09,5624.97
16,32,0.000000,1514.85,1514.85
16,64,0.000000,1494.65,1494.65
32,0,1.000000,92.46,4089.01
32,1,1.000000,174.32,3932.28
32,2,1.000000,260.82,4097.68
32,4,1.000000,427.64,4252.73
32,8,1.000000,786.82,4700.75
32,16,1.000000,1494.34,5596.93
32,32,1.000000,2959.69,6843.00
32,64,0.000000,2963.88,2963.88
